"Name","Symbol","Last","Chg. %","Market Cap","Vol."
"Reliance Industries","RELI","2.47K","0.00%","15.72T","0.00"
"Reliance Industries","RELI","2.47K","0.38%","15.72T","3.92M"
"Tata Consultancy","TCS","3.48K","-1.31%","12.86T","2.14M"
"Tata Consultancy","TCS","3.48K","0.00%","12.86T","0.00"
"HDFC Bank","HDBK","1.54K","0.56%","8.53T","4.58M"
"HDFC Bank","HDBK","1.54K","0.00%","8.53T","0.00"
"Infosys","INFY","1.78K","-0.45%","7.56T","4.33M"
"Infosys","INFY","1.78K","0.00%","7.56T","0.00"
"Hindustan Unilever","HLL","2.40K","0.35%","5.64T","1.24M"
"Hindustan Unilever","HLL","2.40K","0.00%","5.64T","0.00"
"ICICI Bank","ICBK","762.90","0.21%","5.29T","20.64M"
"ICICI Bank","ICBK","763.20","0.00%","5.29T","0.00"
"Housing Development Finance","HDFC","2.93K","0.00%","5.29T","0.00"
"Housing Development Finance","HDFC","2.93K","-0.78%","5.29T","3.48M"
"SBI","SBI","503.80","1.13%","4.50T","22.46M"
"Bajaj Finance","BJFN","7.46K","0.00%","4.50T","0.00"
"Bajaj Finance","BJFN","7.48K","-1.61%","4.50T","772.26K"
"SBI","SBI","503.95","0.00%","4.50T","0.00"
"Bharti Airtel","BRTI","714.35","-0.79%","4.20T","4.47M"
"Bharti Airtel","BRTI","714.20","0.00%","4.20T","0.00"
"Kotak Mahindra Bank","KTKM","2.02K","-1.37%","4.01T","2.79M"
"Kotak Mahindra Bank","KTKM","2.02K","0.00%","4.01T","0.00"
"Wipro","WIPR","651.45","-1.56%","3.56T","3.92M"
"Wipro","WIPR","650.90","0.00%","3.56T","0.00"
"Avenue Supermarts","AVEU","5.08K","0.00%","3.29T","0.00"
"Avenue Supermarts","AVEU","5.08K","-0.89%","3.29T","428.26K"
"Asian Paints","ASPN","3.23K","0.00%","3.10T","0.00"
"Asian Paints","ASPN","3.23K","-0.11%","3.10T","1.61M"
"HCL Tech","HCLT","1.12K","0.00%","3.04T","0.00"
"HCL Tech","HCLT","1.12K","-2.80%","3.04T","5.38M"
"ITC","ITC","237.45","0.00%","2.93T","0.00"
"ITC","ITC","237.50","-0.84%","2.93T","20.21M"
"Bajaj Finserv","BJFS","17.91K","0.00%","2.85T","0.00"
"Bajaj Finserv","BJFS","17.92K","-1.83%","2.85T","274.44K"
"Larsen & Toubro","LART","1.90K","0.00%","2.66T","0.00"
"Larsen & Toubro","LART","1.90K","-2.86%","2.66T","1.88M"
"BASF India","BASF","2.83K","0.00%","2.60T","0.00"
"BASF India","BASF","2.83K","-1.72%","2.60T","20.03K"
"Maruti Suzuki","MRTI","8.10K","-2.11%","2.45T","1.34M"
"Maruti Suzuki","MRTI","8.11K","0.00%","2.45T","0.00"
"UltraTech Cement","ULTC","7.77K","0.00%","2.24T","0.00"
"UltraTech Cement","ULTC","7.77K","-1.15%","2.24T","196.67K"
"Titan Company","TITN","2.48K","0.00%","2.20T","0.00"
"Titan Company","TITN","2.48K","-0.85%","2.20T","739.89K"
"AXIS Bank","AXBK","706.85","0.00%","2.17T","0.00"
"AXIS Bank","AXBK","706.35","-0.84%","2.17T","13.46M"
"Adani Green Energy","ADNA","1.35K","0.00%","2.10T","0.00"
"Adani Transmission Ltd","ADAI","1.93K","0.00%","2.10T","0.00"
"Adani Transmission Ltd","ADAI","1.91K","3.00%","2.10T","79.60K"
"Adani Green Energy","ADNA","1.34K","2.32%","2.10T","2.03M"
